Year,Rank,Release Group, Worldwide , Domestic ,Domestic %, Foreign ,Foreign %, Origin , Worldwide Adjusted , Domestic Adjusted , Foreign Adjusted 
2000,58,The Road to El Dorado," $76,432,727 "," $50,863,742 ",66.50%," $25,568,985 ",33.50%,USA," $135,668,090 "," $90,283,142 "," $45,384,948 "
2000,59,"Dude, Where's My Car?"," $73,180,723 "," $46,729,800 ",63.90%," $26,450,923 ",36.10%,USA," $129,895,783 "," $82,945,395 "," $46,950,388 "
2000,60,"O Brother, Where Art Thou?"," $71,868,327 "," $45,512,588 ",63.30%," $26,355,739 ",36.70%,USA," $127,566,280 "," $80,784,844 "," $46,781,437 "
2000,61,Rules of Engagement," $71,732,303 "," $61,335,230 ",85.50%," $10,397,073 ",14.50%,USA," $127,324,838 "," $108,870,033 "," $18,454,805 "
2000,62,Frequency," $68,106,245 "," $45,010,278 ",66.10%," $23,095,967 ",33.90%,USA," $120,888,585 "," $79,893,243 "," $40,995,341 "
2000,63,Thirteen Days," $66,579,890 "," $34,592,089 ",52%," $31,987,801 ",48%,USA," $118,179,305 "," $61,400,958 "," $56,778,347 "
2000,64,Proof of Life," $62,761,005 "," $32,598,931 ",51.90%," $30,162,074 ",48.10%,USA," $111,400,784 "," $57,863,103 "," $53,537,681 "
2000,65,Snow Day," $62,464,731 "," $60,020,107 ",96.10%," $2,444,624 ",3.90%,USA," $110,874,898 "," $106,535,690 "," $4,339,208 "
2000,66,28 Days," $62,198,945 "," $37,170,488 ",59.80%," $25,028,457 ",40.20%,USA," $110,403,127 "," $65,977,616 "," $44,425,511 "
2000,67,Taxi 2," $60,726,164 "," $626,164 ",1%," $60,100,000 ",99%,International," $107,788,941 "," $1,111,441 "," $106,677,500 "
2000,68,Keeping the Faith," $59,945,183 "," $37,047,880 ",61.80%," $22,897,303 ",38.20%,USA," $106,402,700 "," $65,759,987 "," $40,642,713 "
2000,69,Next Friday," $59,827,328 "," $57,328,603 ",95.80%," $2,498,725 ",4.20%,USA," $106,193,507 "," $101,758,270 "," $4,435,237 "
2000,70,The Flintstones in Viva Rock Vegas," $59,468,275 "," $35,268,275 ",59.30%," $24,200,000 ",40.70%,USA," $105,556,188 "," $62,601,188 "," $42,955,000 "
2000,71,Little Nicky," $58,292,295 "," $39,464,775 ",67.70%," $18,827,520 ",32.30%,USA," $103,468,824 "," $70,049,976 "," $33,418,848 "
2000,72,Pay It Forward," $55,707,411 "," $33,519,628 ",60.20%," $22,187,783 ",39.80%,USA," $98,880,655 "," $59,497,340 "," $39,383,315 "
2000,73,Bounce," $53,425,292 "," $36,805,288 ",68.90%," $16,620,004 ",31.10%,USA," $94,829,893 "," $65,329,386 "," $29,500,507 "
2000,74,Pitch Black," $53,187,659 "," $39,240,659 ",73.80%," $13,947,000 ",26.20%,USA," $94,408,095 "," $69,652,170 "," $24,755,925 "
2000,75,Hanging Up," $51,880,044 "," $36,050,230 ",69.50%," $15,829,814 ",30.50%,USA," $92,087,078 "," $63,989,158 "," $28,097,920 "
2000,76,The Skulls," $50,802,120 "," $35,046,120 ",69%," $15,756,000 ",31%,USA," $90,173,763 "," $62,206,863 "," $27,966,900 "
2000,77,The Replacements," $50,054,511 "," $44,737,059 ",89.40%," $5,317,452 ",10.60%,USA," $88,846,757 "," $79,408,280 "," $9,438,477 "
2000,78,Book of Shadows: Blair Witch 2," $47,737,094 "," $26,437,094 ",55.40%," $21,300,000 ",44.60%,USA," $84,733,342 "," $46,925,842 "," $37,807,500 "
2000,79,Almost Famous," $47,383,689 "," $32,534,850 ",68.70%," $14,848,839 ",31.30%,USA," $84,106,048 "," $57,749,359 "," $26,356,689 "
